code,flour-c,sugar-c,salt-tsp,yeast-tsp,milk-c,water-c,oil-c,eggs,baking-powder-tsp,baking-soda-tsp,butter-c,label
BR1,0.605652759,0.067294751,0.006056528,0,0,0.30282638,0,0,0.018169583,0,0,bread
BR2,0.721153846,0.060096154,0.004807692,0.003605769,0.120192308,0.030048077,0,0,0,0,0.060096154,bread
BR3,0.671892497,0.046659201,0.002986189,0.005972378,0,0.223964166,0,0.029861889,0,0,0.01866368,bread
BR4,0.672877847,0,0.008281573,0.008281573,0,0.310559006,0,0,0,0,0,bread
BR5,0.630193259,0.093361964,0.001400429,0.008962749,0.140042947,0,0,0.056017179,0,0,0.070021473,bread
BR6,0.592300099,0.074037512,0.011846002,0.005923001,0,0.246791708,0.049358342,0.019743337,0,0,0,bread
BR7,0.671892497,0.055991041,0.010078387,0.010078387,0,0.223964166,0.027995521,0,0,0,0,bread
BR8,0.69726903,0.014526438,0.005229518,0.00697269,0,0.261475886,0.014526438,0,0,0,0,bread
BR9,0.686106346,0.021440823,0.003430532,0.010291595,0,0.25728988,0.021440823,0,0,0,0,bread
BR10,0.644329897,0.071592211,0.002863688,0.009163803,0.143184422,0.035796105,0,0.057273769,0,0,0.035796105,bread
BR11,0.511312217,0.067873303,0.006334842,0.007239819,0.180995475,0.090497738,0,0.090497738,0,0,0.045248869,bread
BR12,0.685322673,0,0.004568818,0.01027984,0.114220445,0.171330668,0,0,0,0,0.014277556,bread
BR13,0.716590815,0.031030203,0.00413736,0.007447249,0,0.220107571,0,0,0,0,0.020686802,bread
BR14,0.660671731,0.004587925,0.005505598,0.009910076,0,0.275279888,0,0.044044782,0,0,0,bread
BR15,0.549073439,0.06863418,0.005490734,0.006177076,0.06863418,0,0,0.164722032,0,0,0.13726836,bread
BR16,0.517598344,0.092477571,0.008281573,0.00621118,0.092477571,0,0,0.11042098,0,0,0.172532781,bread
BR17,0.609080842,0.055370986,0.004429679,0.009966777,0.166112957,0.055370986,0,0.044296788,0,0,0.055370986,bread
BR18,0.703125,0.0390625,0.00078125,0.00703125,0,0.1171875,0.0390625,0.09375,0,0,0,bread
BR19,0.615886834,0.054406964,0.004352557,0.009793254,0.217627856,0,0,0.043525571,0,0,0.054406964,bread
BR20,0.604490501,0.056994819,0.005181347,0.010362694,0.288428325,0,0,0.034542314,0,0,0,bread
BR21,0.700252896,0.007294301,0.002334176,0.010503793,0.233417632,0.029177204,0.002431395,0,0,0,0.014588602,bread
